INFO  Using log config file: jar:file:/E:/weixin-hook-4.1.8/hook-wx/toolchain/ghidra/Ghidra/Framework/Generic/lib/Generic.jar!/generic.log4j.xml (LoggingInitialization)  
INFO  Using log file: C:\Users\fish\AppData\Roaming\ghidra\ghidra_11.3.2_PUBLIC\application.log (LoggingInitialization)  
INFO  Loading user preferences: C:\Users\fish\AppData\Roaming\ghidra\ghidra_11.3.2_PUBLIC\preferences (Preferences)  
INFO  Searching for classes... (ClassSearcher)  
INFO  Class search complete (1024 ms) (ClassSearcher)  
INFO  Initializing SSL Context (SSLContextInitializer)  
INFO  Initializing Random Number Generator... (SecureRandomFactory)  
INFO  Random Number Generator initialization complete: SHA1PRNG (SecureRandomFactory)  
INFO  Trust manager disabled, cacerts have not been set (ApplicationTrustManagerFactory)  
INFO  Headless startup complete (10560 ms) (AnalyzeHeadless)  
INFO  Class searcher loaded 57 extension points (18 false positives) (ClassSearcher)  
INFO  HEADLESS Script Paths:
    E:\weixin-hook-4.1.8\hook-wx\m3
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Processors\PIC\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\FileFormats\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\GnuDemangler\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\SystemEmulation\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Processors\Atmel\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Debug\Debugger\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\PDB\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\DecompilerDependent\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\PyGhidra\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\Jython\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\BytePatterns\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Processors\DATA\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Debug\Debugger-rmi-trace\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\VersionTracking\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Processors\JVM\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\Base\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\FunctionID\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Processors\8051\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\SwiftDemangler\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\WildcardAssembler\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\BSim\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\Decompiler\ghidra_scripts
    E:\weixin-hook-4.1.8\hook-wx\toolchain\ghidra\Ghidra\Features\MicrosoftCodeAnalyzer\ghidra_scripts (HeadlessAnalyzer)  
  local_50 = 0xfffffffffffffffe;
  local_268 = _DAT_188ad27c0;
  ppppppplStack_260 = _UNK_188ad27c8;
  local_58 = param_3;
  FUN_180199830(&local_1e8,&DAT_188e744f8,&DAT_188e6ced0,0x1060);
  local_268 = (longlong *******)CONCAT44(local_268._4_4_,2);
  local_258 = 0;
  local_250 = local_1e8;
  ppppppplStack_248 = ppppppplStack_1e0;
  local_240 = (char *)0x0;
  uStack_238 = 0;
  local_230 = 0;
  local_228 = 0xf;
  ppppppplStack_260 = (longlong *******)FUN_1809fa580();
  uVar11 = s_Begin_StartSendMessageSyncStage_188e66600._23_8_;
  if (local_228 < 0x1f) {
    FUN_1800556e0(&local_240,0x1f);
  }
  else {
    local_230 = 0x1f;
    *(ulonglong *)(local_240 + 0xf) =
         CONCAT71(s_Begin_StartSendMessageSyncStage_188e66600._16_7_,
                  s_Begin_StartSendMessageSyncStage_188e66600[0xf]);
    *(undefined8 *)(local_240 + 0x17) = uVar11;
    uVar10 = s_Begin_StartSendMessageSyncStage_188e66600._12_4_;
    uVar9 = s_Begin_StartSendMessageSyncStage_188e66600._8_4_;
    uVar8 = s_Begin_StartSendMessageSyncStage_188e66600._4_4_;
    *(undefined4 *)local_240 = s_Begin_StartSendMessageSyncStage_188e66600._0_4_;
    *(undefined4 *)(local_240 + 4) = uVar8;
    *(undefined4 *)(local_240 + 8) = uVar9;
    *(undefined4 *)(local_240 + 0xc) = uVar10;
    local_240[0x1f] = '\0';
  }
  plVar23 = local_58;
  FUN_1839be5b0(*local_58,1);
  local_68 = (longlong *)&DAT_aaaaaaaaaaaaaaaa;
  local_78 = ppppppplVar22;
  ppppppplStack_70 = ppppppplVar21;
  local_88 = ppppppplVar22;
  ppppppplStack_80 = ppppppplVar21;
  local_98 = ppppppplVar22;
  ppppppplStack_90 = ppppppplVar21;
  if (plVar23[1] == 0) {
    lStack_210 = 0;
  }
  else {
    LOCK();
    piVar1 = (int *)(plVar23[1] + 8);
    *piVar1 = *piVar1 + 1;
    UNLOCK();
    lStack_210 = plVar23[1];
  }
  local_218 = *plVar23;
  FUN_1817f6690(param_1,&local_1e8,&local_218);
  ppppppplVar16 = (longlong *******)&local_118;
  FUN_18179e400(ppppppplVar16,&local_98,&local_1e8);
  ppppppplVar25 = ppppppplStack_1e0;
  if (ppppppplStack_1e0 != (longlong *******)0x0) {
    LOCK();
    ppppppplVar15 = ppppppplStack_1e0 + 1;
    *(int *)ppppppplVar15 = *(int *)ppppppplVar15 + -1;
    UNLOCK();
    if (*(int *)ppppppplVar15 == 0) {
      (*(code *)**ppppppplStack_1e0)(ppppppplStack_1e0);
      LOCK();
      piVar1 = (int *)((longlong)ppppppplVar25 + 0xc);
      *piVar1 = *piVar1 + -1;
      UNLOCK();
      if (*piVar1 == 0) {
        (*(code *)(*ppppppplVar25)[1])(ppppppplVar25);
      }
    }
  }
  lVar5 = *local_58;
  if (*(longlong *)(lVar5 + 0x20) == 0) {
    local_2c0 = 0;
  }
  else {
    LOCK();
    piVar1 = (int *)(*(longlong *)(lVar5 + 0x20) + 8);
    *piVar1 = *piVar1 + 1;
    UNLOCK();
    local_2c0 = *(undefined8 *)(lVar5 + 0x20);
  }
  local_2c8 = *(undefined8 *)(lVar5 + 0x18);
  FUN_1817f8f20(ppppppplStack_70,&local_2c8);
  FUN_1817f90e0(*local_58 + 0x78,&local_98);
  FUN_1839bd150(*local_58,&local_1e8);
  puStack_110 = (undefined8 *)0x0;
  ppppppplVar15 = (longlong *******)operator_new(0x20);
  uVar17 = local_1d8;
  uVar10 = s_GetAddSendMessageToDb_188e66620._12_4_;
  uVar9 = s_GetAddSendMessageToDb_188e66620._8_4_;
  uVar8 = s_GetAddSendMessageToDb_188e66620._4_4_;
  lStack_108 = 0x15;
  uStack_100 = 0x1f;
  *(undefined4 *)ppppppplVar15 = s_GetAddSendMessageToDb_188e66620._0_4_;
  *(undefined4 *)((longlong)ppppppplVar15 + 4) = uVar8;
  *(undefined4 *)(ppppppplVar15 + 1) = uVar9;
  *(undefined4 *)((longlong)ppppppplVar15 + 0xc) = uVar10;
  *(undefined8 *)((longlong)ppppppplVar15 + 0xd) = 0x62446f5465676173;
  *(undefined1 *)((longlong)ppppppplVar15 + 0x15) = 0;
  ppppppplVar25 = (longlong *******)&local_1e8;
  if (&DAT_0000000f < local_1d0) {
    ppppppplVar25 = local_1e8;
  }
  local_118 = ppppppplVar15;
  if (local_1d8 < 0xb) {
    lStack_108 = local_1d8 + 0x15;
    FUN_18732e860((undefined1 *)((longlong)ppppppplVar15 + 0x15),ppppppplVar25,local_1d8);
    *(undefined1 *)((longlong)ppppppplVar15 + uVar17 + 0x15) = 0;
  }
  else {
    ppppppplVar16 = (longlong *******)FUN_180009450(&local_118,local_1d8);
    uVar33 = (undefined4)(uVar17 >> 0x20);
  }
  local_358 = *(undefined4 *)ppppppplVar16;
  uStack_354 = *(undefined4 *)((longlong)ppppppplVar16 + 4);
  uStack_350 = *(undefined4 *)(ppppppplVar16 + 1);
  uStack_34c = *(undefined4 *)((longlong)ppppppplVar16 + 0xc);
  local_348 = *(undefined4 *)(ppppppplVar16 + 2);
  uStack_344 = *(undefined4 *)((longlong)ppppppplVar16 + 0x14);
  uStack_340 = *(undefined4 *)(ppppppplVar16 + 3);
  uStack_33c = *(undefined4 *)((longlong)ppppppplVar16 + 0x1c);
  ppppppplVar16[2] = (longlong ******)0x0;
  ppppppplVar16[3] = (longlong ******)0xf;
  *(undefined1 *)ppppppplVar16 = 0;
  FUN_180ffa8d0(&local_268,&local_358,0x32);
  plVar23 = local_58;
  if (uStack_100 < 0x10) {
LAB_1817f5336:
    if (&DAT_0000000f < local_1d0) {
      ppppppplVar16 = (longlong *******)((longlong)local_1d0 + 1);
      ppppppplVar25 = local_1e8;
      if ((longlong *******)0xfff < ppppppplVar16) {
        ppppppplVar25 = (longlong *******)local_1e8[-1];
        if ((undefined1 *)0x1f <
            (undefined1 *)((longlong)local_1e8 + (-8 - (longlong)ppppppplVar25)))
        goto LAB_1817f60eb;
        ppppppplVar16 = local_1d0 + 5;
      }
      thunk_FUN_187306488(ppppppplVar25,ppppppplVar16);
    }
    if (local_98._4_4_ != 0 || (int)local_98 != 0) {
      iVar13 = FUN_180069770(4);
      if (iVar13 != 0) {
        FUN_1800698a0(local_158);
        pppppppuVar28 = local_158;
        if (0xf < local_140) {
          pppppppuVar28 = local_158[0];
        }
        FUN_180069c00(&local_1e8,4,pppppppuVar28,&DAT_188e6ced0,&DAT_188e77cc8,0x1069,0,0);
        uVar17 = FUN_180f583b0(*local_58);
        uVar26 = 7;
        puVar30 = (undefined1 *)((longlong)&local_2b8 + 7);
        do {
          puVar27 = puVar30;
          uVar14 = (uint)uVar17;
          uVar31 = uVar17 & 0xffffffff;
          uVar17 = uVar31 / 10;
          puVar27[1] = "ZYXWVUTSRQPONMLKJIHGFEDCBA9876543210123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ"
                       [(int)(uVar31 / 10) * -10 + uVar14 + 0x23];
          puVar30 = puVar27 + 1;
          uVar26 = uVar26 + 1;
        } while (9 < uVar14);
        local_2b8 = (undefined8 *******)&local_2b0;
        puVar27[2] = 0;
        plVar23 = local_58;
        if (8 < uVar26) {
          puVar27 = (undefined1 *)((longlong)&local_2b0 + 1);
          do {
            uVar4 = *puVar30;
            *puVar30 = puVar27[-1];
            puVar30 = puVar30 + -1;
            puVar27[-1] = uVar4;
            bVar32 = puVar27 < puVar30;
            puVar27 = puVar27 + 1;
          } while (bVar32);
        }
        FUN_1839bd150(*plVar23,&local_138);
        local_318 = (longlong *******)&local_138;
        if (0xf < local_120) {
          local_318 = local_138;
        }
        local_310 = 0;
        local_a8 = 0;
        uStack_a0 = 0;
        local_b8 = 0;
        uStack_b0 = 0;
        local_c8 = 0;
        uStack_c0 = 0;
        local_d8 = 0;
        uStack_d0 = 0;
        local_e8 = 0;
        uStack_e0 = 0;
        uStack_f8 = 0;
        uStack_f0 = 0;
        lStack_108 = 0;
        uStack_100 = 0;
        puStack_110 = &local_2b8;
        local_118 = (longlong *******)&local_318;
        FUN_18006a1a0(&local_1e8,&DAT_188e76b30,&local_118);
        if (0xf < local_120) {
          uVar17 = local_120 + 1;
          ppppppplVar22 = local_138;
          if (0xfff < uVar17) {
            ppppppplVar22 = (longlong *******)local_138[-1];
            if ((undefined1 *)0x1f <
                (undefined1 *)((longlong)local_138 + (-8 - (longlong)ppppppplVar22)))
            goto LAB_1817f60eb;
            uVar17 = local_120 + 0x28;
          }
          thunk_FUN_187306488(ppppppplVar22,uVar17);
        }
        FUN_180069d00(&local_1e8);
        if (0xf < local_140) {
          uVar17 = local_140 + 1;
          pppppppuVar28 = local_158[0];
          if (0xfff < uVar17) {
            pppppppuVar28 = (undefined8 *******)local_158[0][-1];
            if (0x1f < (ulonglong)((longlong)local_158[0] + (-8 - (longlong)pppppppuVar28)))
            goto LAB_1817f60eb;
            uVar17 = local_140 + 0x28;
          }
          thunk_FUN_187306488(pppppppuVar28,uVar17);
        }
      }
      ppppppplVar22 = ppppppplStack_80;
      *param_2 = local_98;
      param_2[1] = 0;
      param_2[2] = 0;
      param_2[3] = 0;
      param_2[4] = 0;
      ppppppplVar21 = ppppppplStack_90;
      if (local_78 < &DAT_00000010) {
        ppppppplVar21 = (longlong *******)&ppppppplStack_90;
      }
      if (-1 < (longlong)ppppppplStack_80) {
        if (ppppppplStack_80 < &DAT_00000010) {
LAB_1817f57b9:
          param_2[3] = ppppppplStack_80;
          param_2[4] = 0xf;
          pppppplVar7 = ppppppplVar21[1];
          param_2[1] = *ppppppplVar21;
          param_2[2] = pppppplVar7;
          goto LAB_1817f5984;
        }
        uVar26 = (ulonglong)ppppppplStack_80 | 0xf;
        uVar17 = 0x16;
        if (0x16 < uVar26) {
          uVar17 = uVar26;
        }
        if (uVar26 < 0xfff) {
          pvVar19 = operator_new(uVar17 + 1);
          goto LAB_1817f5967;
        }
        pvVar18 = operator_new(uVar17 + 0x28);
        if (pvVar18 != (void *)0x0) goto LAB_1817f5808;
        goto LAB_1817f60eb;
      }
      goto LAB_1817f60f1;
    }
    cVar12 = FUN_181e2f4a0(*plVar23);
    if (cVar12 == '\0') {
      lVar5 = *local_58;
      if (*(longlong *)(lVar5 + 0x20) == 0) {
        ppppppplVar22 = (longlong *******)0x0;
      }
      else {
        LOCK();
        piVar1 = (int *)(*(longlong *)(lVar5 + 0x20) + 8);
        *piVar1 = *piVar1 + 1;
        UNLOCK();
        ppppppplVar22 = *(longlong ********)(lVar5 + 0x20);
      }
      local_1e8 = *(longlong ********)(lVar5 + 0x18);
      ppppppplStack_1e0 = ppppppplVar22;
      FUN_18178f980(param_1);
      if (ppppppplVar22 != (longlong *******)0x0) {
        LOCK();
        ppppppplVar21 = ppppppplVar22 + 1;
        *(int *)ppppppplVar21 = *(int *)ppppppplVar21 + -1;
        UNLOCK();
        if (*(int *)ppppppplVar21 == 0) {
          (*(code *)**ppppppplVar22)(ppppppplVar22);
          LOCK();
          piVar1 = (int *)((longlong)ppppppplVar22 + 0xc);
          *piVar1 = *piVar1 + -1;
          UNLOCK();
          if (*piVar1 == 0) {
            (*(code *)(*ppppppplVar22)[1])(ppppppplVar22);
          }
        }
      }
      ppppppplVar22 = ppppppplStack_80;
      *param_2 = local_98;
      param_2[1] = 0;
      param_2[2] = 0;
      param_2[3] = 0;
      param_2[4] = 0;
      ppppppplVar21 = ppppppplStack_90;
      if (local_78 < &DAT_00000010) {
        ppppppplVar21 = (longlong *******)&ppppppplStack_90;
      }
      if (-1 < (longlong)ppppppplStack_80) {
        if (ppppppplStack_80 <= &DAT_0000000f) goto LAB_1817f57b9;
        uVar26 = (ulonglong)ppppppplStack_80 | 0xf;
        uVar17 = 0x16;
        if (0x16 < uVar26) {
          uVar17 = uVar26;
        }
        if (uVar26 < 0xfff) {
          pvVar19 = operator_new(uVar17 + 1);
        }
        else {
          pvVar18 = operator_new(uVar17 + 0x28);
          if (pvVar18 == (void *)0x0) goto LAB_1817f60eb;
LAB_1817f5808:
          pvVar19 = (void *)((longlong)pvVar18 + 0x27U & 0xffffffffffffffe0);
          *(void **)((longlong)pvVar19 + -8) = pvVar18;
        }
LAB_1817f5967:
        param_2[1] = pvVar19;
        param_2[3] = ppppppplVar22;
        param_2[4] = uVar17;
        FUN_18732e860(pvVar19,ppppppplVar21,(undefined1 *)((longlong)ppppppplVar22 + 1));
LAB_1817f5984:
        param_2[5] = 0;
        param_2[6] = 0;
        if (local_68 == (longlong *)0x0) {
          plVar23 = (longlong *)0x0;
        }
        else {
          LOCK();
          *(int *)(local_68 + 1) = (int)local_68[1] + 1;
          UNLOCK();
          plVar23 = local_68;
        }
        param_2[5] = ppppppplStack_70;
        param_2[6] = plVar23;
        goto joined_r0x0001817f59b8;
      }
      goto LAB_1817f60f7;
    }
    local_138 = ppppppplVar22;
    ppppppplStack_130 = ppppppplVar21;
    if (local_58[1] == 0) {
      lStack_200 = 0;
    }
    else {
      LOCK();
      piVar1 = (int *)(local_58[1] + 8);
      *piVar1 = *piVar1 + 1;
      UNLOCK();
      lStack_200 = local_58[1];
    }
    local_208 = *local_58;
    FUN_1817a2d60(param_1,&local_138,&local_208);
    if (local_138 == (longlong *******)0x0) {
      iVar13 = FUN_180069770(4);
      if (iVar13 != 0) {
        FUN_1800698a0(&local_2b8);
        pppppppuVar28 = (undefined8 *******)&local_2b8;
        if (0xf < local_2a0) {
          pppppppuVar28 = local_2b8;
        }
        uVar33 = 1;
        FUN_180069c00(&local_1e8,4,pppppppuVar28,&DAT_188e6ced0,&DAT_188e77cc8,0x1075,0,0);
        local_a8 = 0;
        uStack_a0 = 0;
        local_b8 = 0;
        uStack_b0 = 0;
        local_c8 = 0;
        uStack_c0 = 0;
        local_d8 = 0;
        uStack_d0 = 0;
        local_e8 = 0;
        uStack_e0 = 0;
        uStack_f8 = 0;
        uStack_f0 = 0;
        lStack_108 = 0;
        uStack_100 = 0;
        local_118 = (longlong *******)0x0;
        puStack_110 = (undefined8 *)0x0;
        FUN_18006a1a0(&local_1e8,&DAT_188e742c8,&local_118);
        FUN_180069d00(&local_1e8);
        if (0xf < local_2a0) {
          uVar17 = local_2a0 + 1;
          pppppppuVar28 = local_2b8;
          if (0xfff < uVar17) {
            pppppppuVar28 = (undefined8 *******)local_2b8[-1];
            if (0x1f < (ulonglong)((longlong)local_2b8 + (-8 - (longlong)pppppppuVar28)))
            goto LAB_1817f60eb;
            uVar17 = local_2a0 + 0x28;
          }
          thunk_FUN_187306488(pppppppuVar28,uVar17);
        }
      }
      FUN_1839bf820(param_2,1,1,4,CONCAT44(uVar33,4));
      ppppppplVar22 = ppppppplStack_130;
joined_r0x0001817f5952:
      plVar23 = local_68;
      ppppppplStack_130 = ppppppplVar22;
      if (ppppppplVar22 != (longlong *******)0x0) {
        LOCK();
        ppppppplVar21 = ppppppplVar22 + 1;
        *(int *)ppppppplVar21 = *(int *)ppppppplVar21 + -1;
        UNLOCK();
        if (*(int *)ppppppplVar21 == 0) {
          (*(code *)**ppppppplVar22)(ppppppplVar22);
          LOCK();
          piVar1 = (int *)((longlong)ppppppplVar22 + 0xc);
          *piVar1 = *piVar1 + -1;
          UNLOCK();
          plVar23 = local_68;
          if (*piVar1 == 0) {
            (*(code *)(*ppppppplVar22)[1])(ppppppplVar22);
            plVar23 = local_68;
          }
        }
      }
joined_r0x0001817f59b8:
      if (plVar23 != (longlong *)0x0) {
        LOCK();
        plVar3 = plVar23 + 1;
        *(int *)plVar3 = (int)*plVar3 + -1;
        UNLOCK();
        if ((int)*plVar3 == 0) {
          (**(code **)*plVar23)(plVar23);
          LOCK();
          piVar1 = (int *)((longlong)plVar23 + 0xc);
          *piVar1 = *piVar1 + -1;
          UNLOCK();
          if (*piVar1 == 0) {
            (**(code **)(*plVar23 + 8))(plVar23);
          }
        }
      }
      plVar23 = local_58;
      if (&DAT_0000000f < local_78) {
        ppppppplVar22 = (longlong *******)((longlong)local_78 + 1);
        ppppppplVar21 = ppppppplStack_90;
        if ((longlong *******)0xfff < ppppppplVar22) {
          ppppppplVar21 = (longlong *******)ppppppplStack_90[-1];
          if ((undefined1 *)0x1f <
              (undefined1 *)((longlong)ppppppplStack_90 + (-8 - (longlong)ppppppplVar21)))
          goto LAB_1817f60eb;
          ppppppplVar22 = local_78 + 5;
        }
        thunk_FUN_187306488(ppppppplVar21,ppppppplVar22);
      }
      if (local_228 < 0x10) goto LAB_1817f60ab;
      uVar17 = local_228 + 1;
      pcVar29 = local_240;
      if (0xfff < uVar17) {
        pcVar29 = *(char **)(local_240 + -8);
        if ((char *)0x1f < local_240 + (-8 - (longlong)pcVar29)) goto LAB_1817f60eb;
